"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"37","ACMI2","NWMHRC",2016,29,3,"Achillea millefolium","Yarrow",10740,22.52,6756,72.5,"90",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"38","ACMI2","CRC",2016,26,3,"Achillea millefolium","Yarrow",5974,22.52,3265.4,82,"90",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"39","ACMI2","SWMREC",2015,25,3,"Achillea millefolium","Yarrow",9222.4,22.5242,1441.5488,73,"60",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"40","ACMI2","NWMHRC",2015,28,3,"Achillea millefolium","Yarrow",10730,22.5242,1666.7908,68,"75",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"41","ACMI2","SWMREC",2016,27,4,"Achillea millefolium","Yarrow",18111.6,22.52,2634.84,73,"95",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"42","ACMI2","CRC",2016,26,2,"Achillea millefolium","Yarrow",370.8,22.52,202.68,57,"45",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"43","ACMI2","CRC",2015,26,3,"Achillea millefolium","Yarrow",3480,22.5242,540.5808,83.5,"60",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"44","ACMI2","CRC",2016,26,4,"Achillea millefolium","Yarrow",18177,22.52,4931.88,83.5,"100",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"45","ACMI2","SWMREC",2015,27,4,"Achillea millefolium","Yarrow",6525,22.5242,1013.589,60.5,"90",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"46","ACMI2","NWMHRC",2016,29,2,"Achillea millefolium","Yarrow",4767.2,22.52,2274.52,54,"20",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"47","ACMI2","CRC",2015,28,4,"Achillea millefolium","Yarrow",12470,22.5242,1937.0812,86.5,"90",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"48","ACMI2","NWMHRC",2015,29,4,"Achillea millefolium","Yarrow",7056,22.5242,2702.904,80,"95",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"49","ACMI2","NWMHRC",2016,28,4,"Achillea millefolium","Yarrow",3684,22.52,1351.2,49,"35",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"50","ACMI2","SWMREC",2015,26,2,"Achillea millefolium","Yarrow",8196.8,22.5242,1058.6374,71,"55",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"51","ACMI2","SWMREC",2016,25,1,"Achillea millefolium","Yarrow",13981.5,22.52,1756.56,66,"80",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"52","ACMI2","CRC",2016,27,3,"Achillea millefolium","Yarrow",13261,22.52,2004.28,79,"95",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"53","ACMI2","SWMREC",2015,25,4,"Achillea millefolium","Yarrow",2161.5,22.5242,337.863,65,"50",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"54","ACMI2","NWMHRC",2015,30,2,"Achillea millefolium","Yarrow",3456,22.5242,1801.936,54,"95",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"55","ACMI2","CRC",2016,28,3,"Achillea millefolium","Yarrow",5902.4,22.52,2679.88,80,"85",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"56","ACMI2","NWMHRC",2015,28,4,"Achillea millefolium","Yarrow",8555,22.5242,1328.9278,82,"90",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"57","ACMI2","NWMHRC",2015,28,2,"Achillea millefolium","Yarrow",5655,22.5242,878.4438,49,"70",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"58","ACMI2","SWMREC",2016,26,4,"Achillea millefolium","Yarrow",14049.2,22.52,1396.24,75.5,"95",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"59","ACMI2","NWMHRC",2016,27,2,"Achillea millefolium","Yarrow",5320,22.52,1711.52,54,"40",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"60","ACMI2","NWMHRC",2015,29,2,"Achillea millefolium","Yarrow",4116,22.5242,1576.694,52,"75",0.58,"early",0.052181962,62.0527516,"white",188.48,0
